Cell,Cycle,Capacity_mAh,F1,F2,F3,F4,F5,F6,SOH_pct
Cell1,0,739.110921062178,0,0.0388657402945682,0.00174383562989533,0.0268287033541128,0.0324305550893769,0.0368171291192994,100
Cell1,100,730.192949405687,100,0.0383217124035582,0.00175115303136408,0.0263194122817367,0.0319096832536161,0.0362846779171377,98.7934190386911
Cell1,200,725.746737596205,200,0.0380555011797696,0.00175791408400983,0.0261110737919807,0.0316550473216921,0.0360184670425951,98.1918568532626
Cell1,300,722.843197323931,300,0.0378935181070119,0.00175158784259111,0.025949073722586,0.0314699070295319,0.0358564810594544,97.7990145626763
Cell1,400,718.366895843014,400,0.0376272688154131,0.00175291683990508,0.0257407092722133,0.0312383876880631,0.0355902342125773,97.1933813142211
Cell1,500,714.978700695509,500,0.0374420761363581,0.00175004836637527,0.0255670931655914,0.0310416222782806,0.0354166160104796,96.7349663387482
Cell1,600,711.620405394135,600,0.0372453170130029,0.0017586734611541,0.0254050561925396,0.0308680114103481,0.0352082829922438,96.2805967433769
Cell1,700,709.5321170324,700,0.0371527773095295,0.00176678702700883,0.0253009255975485,0.0307523143710569,0.035115740261972,95.998056152753
Cell1,800,705.848011135451,800,0.0369443993549794,0.00174830795731395,0.0251388582400978,0.0305555182276294,0.0348957907408476,95.4996051365436
Cell1,900,702.544976852922,900,0.0367476326646283,0.0017554349033162,0.0249420939944685,0.0303703269455582,0.0347105985274538,95.0527122293489
Cell1,1000,699.415647752736,1000,0.0365624476689845,0.00176152295898646,0.0248032052768394,0.0302082900889218,0.0345369876595214,94.6293212320019
Cell1,1100,696.283591215166,1100,0.0363660204457119,0.00177777977660298,0.0246298190904781,0.0300349532626569,0.034352116053924,94.2055612186781
Cell1,1200,693.267285432255,1200,0.0362039820756763,0.00176420109346509,0.0244562065927312,0.0298844890203327,0.034178503556177,93.7974620150327
Cell1,1300,690.368794359355,1300,0.036018795450218,0.00177110161166638,0.0242825940949842,0.0297108766390011,0.0339933169307187,93.4053028694562
Cell1,1400,687.619240684899,1400,0.0358569218078628,0.00177064898889512,0.024120666552335,0.0295605481369421,0.0338314339751378,93.0332946097888
Cell1,1600,681.826315458059,1600,0.0355439810082316,0.00175789115019143,0.0238194441189989,0.0292708328925073,0.0335069439606741,92.249525210398
Cell1,1800,675.887127031664,1800,0.0351620365399867,0.00177496997639537,0.023437499650754,0.0289351848186925,0.0331365736201406,91.4459667380296
Cell1,1900,672.743285643124,1900,0.034988425555639,0.0017662406899035,0.0232523145386949,0.0287731478456408,0.0329513885080814,91.0206122615971
Cell1,2000,669.731798317851,2000,0.0348032403271645,0.00177357404027134,0.0230324071599171,0.0285995367448777,0.0327893515350297,90.6131649841377
Cell1,2100,667.418482944204,2100,0.0346295873168856,0.00177995848935097,0.0228934905026108,0.0284490393241867,0.0326157008530572,90.3001787586977
Cell1,2200,663.952620219547,2200,0.0344675921369344,0.00176737736910582,0.0226736108306795,0.028298610704951,0.0324421292170882,89.831255539477
Cell1,2300,661.439608635498,2300,0.0342939395923167,0.00176006031688303,0.0225462687667459,0.0281249656109139,0.0322800531284884,89.4912508781418
Cell1,2400,658.23244974471,2400,0.0341319440631196,0.00176944897975773,0.0223379626404494,0.0279861107701436,0.0321296291658655,89.057329689942
Cell1,2500,656.301966293701,2500,0.03398143989034,0.00176694232504815,0.0222337690647691,0.0278587621869519,0.0319907016819343,88.7961397391515
Cell1,2600,652.781045274255,2600,0.0338078700006008,0.00176976155489683,0.0219907404389232,0.0276967589743435,0.031805555219762,88.3197672598507
Cell1,2700,651.274269703515,2700,0.0336689403047785,0.0017739909235388,0.0219096954679117,0.0275694107403979,0.0316897761076689,88.1159040063388
Cell1,2800,648.850102518836,2800,0.0335300447186455,0.00176558538805693,0.0217708022100851,0.0274305163184181,0.0315508808707818,87.7879197869749
Cell1,2900,645.021839758521,2900,0.0333449069876224,0.00176715501584113,0.02148148114793,0.0272569441003725,0.0313425922067836,87.2699646802078
Cell1,3000,644.168984763614,3000,0.0332522741518915,0.00176792149432003,0.0214814551873133,0.0271758927265182,0.0312731099547818,87.1545753698075
Cell1,3100,642.08915975827,3100,0.0331133785657585,0.00176677759736776,0.021330988034606,0.0270485724322498,0.0311342147178948,86.8731798517498
Cell1,3200,638.772923312897,3200,0.0329513885080814,0.00177703239023685,0.0210995367961004,0.0269097218988463,0.0309837958775461,86.424500722424
Cell1,3300,637.819244160997,3300,0.0328587561380118,0.00175988674163818,0.0210647890344262,0.0267939487239346,0.0308795919409022,86.2954701365237
Cell1,3500,632.203017973368,3500,0.0326273144455627,0.0017629467183724,0.020787036861293,0.0266203701030463,0.0306712959427387,85.5356077088981
Cell1,3600,631.744498202454,3600,0.0325462565524504,0.00175478018354625,0.0207291413098574,0.0265277454163879,0.0305902403779328,85.4735710432437
Cell1,3700,629.520283406433,3700,0.0322916205041111,0.00175464560743421,0.0203819153830409,0.0262499625096098,0.0303240307839587,85.1726399201013
